label,target,horizon,model,n_train,n_test,n_net_features,mae_base,rmse_base,mae_net,rmse_net,delta_mae,openmeteo_mae,openmeteo_rmse,skill_base,skill_net,delta_mae_mean,delta_mae_lo,delta_mae_hi,p_improves
band_2-5km,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7591292187898543,1.1566833224174164,-0.07687127462214738,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.10470817717824255,-0.07862363504389205,-0.15621915783024623,-0.012961181839981108,0.014
band_2-5km,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.9120922860054779,1.0802043587781995,0.1927604867041961,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.16390414675526743,0.19310182117264812,0.10978640435431611,0.282023668535201,1.0
band_2-5km,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.030661877301265,1.4402724888538017,-0.04939393678402937,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.11479447910688889,-0.05228929067241721,-0.14762994141340757,0.038882305936962056,0.108
band_2-5km,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.4584924760546327,1.640725392224185,-0.3165197079811455,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.2699483070995954,-0.31641981801606006,-0.425708213191079,-0.21142023760086126,0.0
band_2-5km,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.1696157544252241,1.500750658526962,-0.16962157193774663,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.16160557227147732,-0.17168091120634482,-0.24736780165896277,-0.10248483779964657,0.0
band_2-5km,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.6241457715962504,0.8024316965961515,-0.2938903643823979,0.0,0.0,,,-0.29260707187136586,-0.3647004680955502,-0.22312437823909065,0.0
band_2-5km,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.006209092410345975,0.01674741631593831,0.021055935135842044,0.0,0.0,,,0.021201770532383108,0.0026475538040661687,0.05527223368792161,1.0
band_2-5km,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.7740732432132007,1.0221570206674886,-0.14988246680178596,0.0,0.0,,,-0.14967687022486983,-0.2477994437685584,-0.06542909040194923,0.0
band_2-5km,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.011244966542209214,0.03575313919507619,-0.003990767275253246,0.0,0.0,,,-0.0039895716151153865,-0.010559265550066104,0.0003094443318837475,0.048
band_2-5km,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.5738716627306308,0.7587563284345757,-0.101054582283301,0.0,0.0,,,-0.10012386302782056,-0.19341460982074143,-0.008804908489848011,0.014
band_2-5km,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.057642421364208635,0.12257969079212826,-0.028153439765952096,0.0,0.0,,,-0.027891699691271747,-0.04769858834534564,-0.009564047708943237,0.004
band_5-10km,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.5203896145176731,0.6740229177462147,0.12940228581662827,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.47829523002763596,0.12878986406756204,0.06702220005066276,0.1901068545417957,1.0
